momentID,activity,moment,counterparty,price,dateGMT
9296989,Listed,Hamidou Diallo · DET · Dunk · 4/3/2021 · Base Set · Series 2 · #22508,,2,2022-04-14T17:28:46.000Z
9296989,Sold,Hamidou Diallo · DET · Dunk · 4/3/2021 · Base Set · Series 2 · #22508,0x773b236b88e63b40 (kkdough),2,2022-04-14T17:30:47.000Z
14307963,Sold,Jaxson Hayes · NOP · Dunk · 1/13/2021 · Base Set · Series 2 · #37519,0x9083373ba69af350 (Ulrich65),2,2022-04-14T17:31:13.000Z
12214901,Sold,Luguentz Dort · OKC · 3 Pointer · 2/24/2021 · Base Set · Series 2 · #32953,0x9083373ba69af350 (Ulrich65),2,2022-04-14T17:31:21.000Z
10386529,Sold,Michael Carter-Williams · ORL · Dunk · 3/30/2021 · Base Set · Series 2 · #28629,0xcb240a9348e930ae (TravelAddictGuy),2,2022-04-14T17:36:07.000Z
10952965,Sold,Josh Jackson · DET · Dunk · 2/11/2021 · Base Set · Series 2 · #33425,0xd33aeb2428872714 (AaronKing),2,2022-04-14T17:36:30.000Z
30650020,Sold,Tim Hardaway Jr. · DAL · Dunk · 12/8/2021 · Base Set · Series 3 · #13914,0xd8a962e2a8534fc8 (Fresh_Prince_83),2,2022-04-14T17:58:41.000Z
27092681,Bought,Pascal Siakam · TOR · Dunk · 12/14/2021 · Base Set · Series 3 · #42462,0x6cd664bced1d237c (tiny_burrowing_frog5811),2,2022-04-14T18:07:23.000Z
21626077,Bought,Bol Bol · DEN · Steal · 10/29/2021 · Base Set · Series 3 · #12622,0xb28f31b806ca4415 (Akaswish),2,2022-04-14T18:08:56.000Z
20612848,Bought,Chris Paul · PHX · Jump Shot · 10/22/2021 · Base Set · Series 3 · #26920,0xcbc28ee9530c06c2 (Hrubs10),2,2022-04-14T18:10:26.000Z
